,Latitude,Longitude,Value,Bathy,Sector
256,34.95813115905303,-59.29999999999999,88.70727854983801,"[256974, 4759.0537109375]",0.0
257,34.949108223200355,-59.3,88.70776061343855,"[257978, 4754.89794921875]",0.0
258,34.940085287347685,-59.3,88.70821321955006,"[258982, 4752.3935546875]",0.0
259,34.93106235149501,-59.3,88.70863675757283,"[259985, 4751.923828125]",0.0
260,34.92203941564233,-59.3,88.70903018942315,"[260989, 4752.37890625]",0.0
261,34.91301647978966,-59.3,88.70939568148845,"[261993, 4754.9140625]",0.0
262,34.903993543936984,-59.3,88.70972979816247,"[262997, 4757.470703125]",0.0
263,34.89497060808431,-59.3,88.71003447283255,"[264001, 4757.951171875]",0.0
264,34.88594767223163,-59.3,88.71030765238524,"[265004, 4759.4130859375]",0.0
265,34.87692473637896,-59.3,88.7105509541835,"[266008, 4754.96923828125]",0.0
266,34.86790180052629,-59.300000000000004,88.71076315243175,"[267012, 4745.72314453125]",0.0
267,34.858878864673606,-59.3,88.71094384184221,"[268016, 4742.1865234375]",0.0
268,34.849855928820936,-59.3,88.7110933679615,"[269020, 4702.36962890625]",0.0
269,34.84083299296827,-59.3,88.711210308141,"[270023, 4685.6142578125]",0.0
270,34.83181005711559,-59.300000000000004,88.71129639815399,"[271027, 4663.49609375]",0.0
271,34.82278712126292,-59.3,88.71134934496052,"[272031, 4640.68798828125]",0.0
272,34.813764185410236,-59.3,88.71137007186482,"[273035, 4610.75048828125]",0.0
273,34.804741249557566,-59.3,88.71135853509335,"[274039, 4588.78173828125]",0.0
274,34.795718313704896,-59.300000000000004,88.71131322115693,"[275043, 4550.05615234375]",0.0
275,34.78669537785222,-59.3,88.71123435185291,"[276046, 4525.505859375]",0.0
276,34.77767244199954,-59.3,88.71112280503613,"[277050, 4505.9267578125]",0.0
277,34.768649506146865,-59.3,88.71097798590287,"[278054, 4476.6513671875]",0.0
278,34.759626570294195,-59.300000000000004,88.71079712321827,"[279058, 4443.9482421875]",0.0
279,34.75060363444152,-59.3,88.71058315693162,"[280062, 4392.865234375]",0.0
280,34.74158069858884,-59.3,88.71033378262177,"[281065, 4306.16650390625]",0.0
281,34.73255776273617,-59.3,88.71004815325963,"[282069, 4265.8671875]",0.0
282,34.723534826883494,-59.3,88.70972887656694,"[283073, 4247.1103515625]",0.0
283,34.714511891030824,-59.3,88.70937315318045,"[284077, 4263.380859375]",0.0
